0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
75.37,74.72,77.3,80.81,84.2,87.12,90.2,92.98,95.51,97.4,98.63,99.52,99.59,98.71,95.91,91.41,88.42,86.49,85.01,83.14,81.24,79.85,78.85,77.79
76.89,76.25,77.78,79.84,82.46,85.28,89.1,92.45,93.43,79.75,74.66,74.72,74.93,75.37,75.26,74.81,73.93,72.87,72.01,71.57,71.02,70.78,70.84,71.01
71.72,72.31,73.34,75.88,78.29,81.5,83.19,85.96,88.21,89.41,91.07,91.44,91.99,91.76,89.6,84.4,81.13,79.55,79.26,77.76,77.39,77.51,77.43,76.95
75.2,74.53,76.52,80.75,83.95,85.69,87.81,90.03,92.12,93.56,94.36,94.75,94.07,93.01,89.85,86.19,84.53,82.47,80.91,78.72,76.61,75.3,74.54,73.79
73.29,73.01,75.53,78.91,80.73,78.03,78.75,83.15,87.24,88.87,86.42,82.42,81.91,81.07,79.72,78.26,76.44,75.77,74.66,73.79,72.82,72.75,72.27,71.18
71.01,71.3,73.1,76.31,79.71,82.69,85.14,87.14,88.43,89.79,90.38,90.24,87.59,83.6,80.52,78.89,78.08,77.24,75.98,75.57,74.85,74.15,73.54,73.24
73.48,73.99,74.37,74.6,75.58,77.94,79.4,77.39,75.26,75.12,75.59,76.41,76.91,83.6,80.52,78.89,78.08,77.24,75.98,75.57,74.85,74.15,73.54,73.24
73.48,73.99,74.37,74.6,75.58,77.94,79.4,77.39,75.26,75.12,75.59,76.41,76.91,91.07,89.05,84.35,82.15,81.5,80.15,78.66,77.85,76.42,75.43,75.04
74.24,73.5,76,80.06,82.47,85.78,88.17,90.5,91.69,92.87,93.41,93.83,93.57,92.6,90.31,86.41,82.64,82.08,80.03,78.27,77.67,77.2,75.88,75.23
74.13,73.83,76.25,80.06,83.14,85.9,88.88,90.49,91.92,93.72,94.39,94.95,94.39,93.48,90.69,86.49,84.68,83.33,82.02,81.05,78.93,78.24,77.05,76.63
75.81,75.32,77.23,79.94,82.76,85.63,88.26,89.68,91.79,93.03,93.84,94.3,94.28,93.2,90.93,87.64,85.33,83.62,82.22,80.45,79.15,78.1,77.06,76.52
75.8,75.69,77.27,80.48,83.93,86.65,89.42,90.59,92.19,93.76,94.82,94.9,94.65,93.54,90.65,87.77,86.18,84.28,82.53,80.64,79.43,78.62,78.24,78.56
77.75,76.69,78.04,80.88,82.68,84.96,87.46,89.99,92.44,93.52,94.95,95.3,95.03,93.37,90.66,88.08,85.87,83.63,81.59,80.14,78.78,77.95,77.67,76.74
75.84,75.77,77.22,80.38,83.49,86.76,89.24,92.83,94.32,96.23,97.45,97.72,97.18,95.53,92.26,88.74,86.62,84.28,81.37,79.37,77.68,76.8,75.47,74.74
77.04,73.96,75.43,79.54,83.16,86.9,90.1,93,95.04,97.27,98.3,98.83,98.56,97.27,94.21,89.66,86.95,82.77,83.6,81.42,79.55,78.09,77.19,76.12
77.1,77.18,78.36,81.68,86.14,89.75,93.4,94.86,97.44,99.62,100.33,100.79,100.56,99.01,95.35,90.91,88.01,87.35,85.15,83.97,81.65,80.13,78.88,78.07
77.07,76.37,77.78,80.69,84.19,88.11,91.14,95.19,97.38,99.4,100.87,101.13,101.05,99.54,96.41,91.72,89.1,87.78,85.4,83.34,81.4,79.56,78.22,77.4
76.52,75.91,77.28,80.91,85.49,89.85,87.65,96.28,97.88,98.08,101.09,101.37,100.97,99.7,96.34,91.67,88.73,87.35,85.4,82.52,80.26,78.59,77.32,76.11
75.15,74.1,76.04,79.78,83.23,87.2,91.5,94.83,97.8,99.73,100.7,101.41,101.09,99.29,95.98,91.07,87.14,86.82,85.81,83.59,81.61,79.79,78.39,77.3
76.49,76.17,77.76,82.51,86.89,91.5,94.03,97.35,100.22,101.44,102.73,102.95,102.37,100.55,97.57,91.7,87.34,87.39,85.48,82.74,81.08,79.82,78.79,79.01
78.54,76.97,79.17,84.15,89.31,94.36,98.15,101.46,103.16,105.48,106.87,107.58,107.2,105.42,101.26,95.53,94.04,92.63,90.76,88.89,87.13,85.77,85.3,84.41
84.67,83.62,83.66,85.85,88.04,89.75,93.76,95.55,97.36,98.7,99.3,99.18,98.26,96.3,93.8,89.71,86.99,84.42,81.56,80.04,77.52,80.23,76.44,75.15
74.73,75.5,78.31,84.01,87.9,90.88,92.89,94.22,95.79,96.89,97.94,98.37,98.11,97.42,94.47,88.5,84.44,82.37,80.55,79.68,79.95,78.48,76.94,74.74
73.25,72.71,75.85,82.48,87.01,90.33,93.06,94.94,96.37,97.5,98.18,98.64,98.38,97.08,94,89.09,85,84.45,81.73,79.31,79.96,78.33,75.92,73.39
73.06,72.26,76.3,82.95,87.68,91.79,93.88,95.87,97.89,99.02,99.83,99.92,99.14,97.76,94.51,90,86.85,84.87,82.65,81.16,79.63,77.89,76.31,75.23
73.73,72.2,74.8,81.03,84.91,88.21,91.01,93.22,95.17,97.24,98.38,98.62,98.69,97.29,94.8,90.6,87.42,86.91,85.9,83.62,81.78,80.38,78.54,77.68
76.88,76.2,78.25,81.9,84.91,87.99,91.98,95.34,96.88,98.38,99.97,100.11,100.01,99.02,96.34,91.83,89.5,87.99,86.92,84.62,83.04,81.25,79.82,78.56
78.13,77.73,78.88,82.19,85.72,90.12,92.95,95.07,95.94,96.75,97.49,98.58,98.34,97.41,95.01,91.49,88.88,88.58,86.3,85.05,82.99,80.91,80.18,78.1
78.04,78.53,79.04,81.23,83.12,84.49,87.46,89.86,91.8,92.87,94.24,95.45,95.49,94.55,91.63,87.02,84.3,81.59,79.37,77.73,76.09,74.16,73.5,72.32
72.53,71.24,73.66,79.98,84.25,87.63,89.21,91.72,93.68,95.77,96.17,96.84,96.42,95.27,92.18,86.23,80.18,77.5,74.92,72,70.42,69.92,67.82,68.21
66.5,66.38,70.74,78.45,85.34,88.66,90.46,92.31,94.37,95.36,96.42,96.28,96.78,95.99,92.32,88.31,86.71,84.07,82.15,80.78,79.17,77.03,74.62,72.54
70.96,69.92,73.6,79.82,84.93,88.43,90.35,92.79,94.25,95.39,96.99,96.78,96.2,94.94,92.15,88.67,85.58,84.32,82.52,80.41,78.39,76.54,74.58,72.55
71.42,71.28,73.87,78.27,82.08,85.66,89.07,91.26,92.9,95.04,95.61,93.92,94.06,92.57,90.42,88.29,85.01,83.25,81.54,79.81,78.4,77.2,76.01,75.36
75.35,75.49,76.47,79.13,82.52,86.62,89.71,91.56,92.43,94,94.73,94.84,93.66,92.37,89.31,86.83,83.91,81.91,80.77,79.24,77.57,76.66,75.15,74.13
73.91,73.51,75.93,79.72,83.01,85.89,89.27,91.5,92.5,94.01,94.4,94.46,92.63,91.72,88.7,85.62,83.91,82.5,81.36,79.7,78.42,77.09,75.97,74.93
74.52,74.78,76.13,79.29,82.26,85.55,88.23,90.45,92.51,94.25,95.44,95.83,95.77,94.56,91.94,88.6,86.87,85.28,83.54,81.97,80.46,78.89,78.37,78.01
77.93,77.55,78.71,81.33,83.59,86.88,89.84,92.09,94.32,96.41,97.51,97.03,97.02,95.79,92.1,88.33,85.82,83.73,82.01,80.66,79.38,78.13,77.03,75.89
74.97,74.53,75.98,79.62,83.16,86.33,89.49,92.03,94.04,95.65,96.66,97.6,97.27,96.16,92.88,89.07,87.32,85.7,84.44,83.08,81.8,80.45,79.22,78.36
77.73,77.06,78.43,80.58,81.84,82.57,83.99,86.15,88.24,90.75,92.6,93.43,93.44,92.54,89.87,88.22,86.2,84.5,82.16,79.5,77.48,76.03,75.47,75.35
75.07,75.02,75.68,77.13,78.85,81.95,84.7,87.5,89.8,91.77,91.73,86.75,78.08,75.99,75.4,75.53,75.52,75.86,75.6,75.15,75.2,75.32,75.57,75.67
75.57,75.42,75.75,77.85,80.41,82.7,84.1,85.98,85.14,74.72,75.74,76.96,79.46,80.37,78.59,77.15,75.96,75.59,75.07,75.65,75.75,76.04,76.79,77.29
77.76,78.1,78.69,80.31,82.68,85.77,87.93,89.68,91.37,93.01,94.4,94.89,94.53,92.69,89.18,86.48,84.4,81.59,79.79,78.29,77.27,76.94,76.83,76.53
75.98,75.1,75.84,78.77,82.7,85.96,87.79,91.07,92.65,94.3,94.88,95.48,94.73,93.38,90.8,88.07,86.37,84.12,82.01,80.28,79.04,78.43,78.13,77.99
77.24,76.52,77.31,79.97,82.41,86.08,88.95,91.82,93.47,94.9,96.19,96.94,96.85,95.94,92.77,88.81,87.63,86.06,83.94,81.77,80.01,79.31,78.77,78.1
