0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
1.827,1.476316667,1.467933333,1.505416667,1.630233333,1.469083333,1.491683333,1.439333333,1.908933333,3.240483333,3.495533333,6.444444444,5.906774194,3.976766667,4.148690909,2.773016667,2.60495,2.744704545,2.993383333,3.390833333,3.2627,3.326366667,3.07165,3.085133333,
1.994216667,1.578566667,1.498233333,1.514083333,1.66,1.467116667,1.61875,1.7213,3.114866667,3.739483333,3.35685,3.482433333,3.011016667,2.704366667,3.705866667,3.776333333,3.61595,3.197716667,3.929466667,2.674616667,2.273383333,3.837,3.1394,1.971683333,
1.97255,1.791483333,1.696616667,1.658933333,1.508816667,1.69365,1.7024,2.641883333,3.205966667,4.21275,4.374683333,5.86748,3.737166667,2.73575,2.044966667,2.684666667,2.715116667,2.832666667,3.31545,3.779083333,3.845233333,3.486183333,3.290083333,2.651966667,
2.21305,1.911866667,1.98755,1.842033333,1.8132,1.80755,1.782666667,1.798833333,1.957233333,2.33705,2.508416667,2.710866667,2.4417,2.549866667,2.687683333,2.742216667,3.5241,4.1362,3.817583333,3.749383333,3.763883333,3.31785,3.158466667,2.205583333,
2.017116667,1.90275,1.775333333,1.679783333,1.69775,1.71205,1.69245,1.975216667,1.936383333,2.062416667,3.738910714,2.714633333,4.696181818,3.390016667,3.7669,3.996466667,4.284983333,4.48155,4.5522,4.431283333,4.002783333,3.6195,2.697016667,2.05765,
1.783666667,1.9069,1.740633333,1.75795,1.697966667,1.984,1.712883333,2.0599,2.865933333,3.23415,1.309066667,2.206,2.47805,1.977616667,2.5105,3.42835,2.266833333,2.594366667,2.786733333,2.96275,3.45295,3.235233333,3.3094,2.8334,
1.3795,3.06635,2.461883333,2.0858,1.809133333,1.757216667,1.5374,0.730683333,1.275966667,2.089327273,3.096836364,3.576035088,3.4941,3.799633333,3.040933333,4.037383333,4.21925,4.02075,4.347666667,4.164466667,2.926083333,2.283966667,1.866166667,1.477883333,
1.47685,1.104233333,1.293166667,1.125,1.026533333,0.810083333,1.0158,1.733933333,3.0122,3.134466667,1.258716667,1.687766667,1.5224,1.871716667,2.224283333,4.03155,4.451216667,4.007233333,3.3651,3.2006,3.7936,3.676166667,2.775466667,1.794416667,
1.537,1.246883333,1.084316667,1.062833333,1.064133333,1.054583333,0.9979,1.41,1.586366667,1.187383333,1.273533333,1.32995,1.9231,1.702216667,2.036966667,2.297433333,3.251966667,3.78745,3.564483333,3.625633333,3.1012,3.443033333,2.703916667,1.699316667,
1.2104,1.36955,1.18,1.086783333,1.03955,1.048616667,1.0484,2.358016667,2.781166667,3.83255,3.639683333,2.584233333,1.990416667,2.065216667,2.343866667,2.448266667,3.603883333,3.180733333,3.508833333,3.326383333,2.745216667,2.15925,1.966516667,1.3543,
