0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0.165560417,0.15575625,0.12233,0.135877083,0.109481667,0.113219167,0.131830833,0.152295,0.21294,0.290002917,0.325,0.267106667,0.235050833,0.171627083,0.140985,0.124772917,0.1195025,0.111399167,0.1206075,0.171182917,0.133407083,0.241269167,0.158052917,0.210442917
0.166410833,0.1366625,0.12319125,0.131727917,0.107764583,0.117362917,0.14740375,0.213395,0.252465417,0.323115,0.325,0.221920833,0.187562917,0.146780833,0.1322425,0.12296375,0.120017083,0.120309583,0.130953333,0.20720375,0.14594125,0.276835,0.1596075,0.214342917
0.170142917,0.12566125,0.119025833,0.12517375,0.113565833,0.1221675,0.15468375,0.208027083,0.277945417,0.3230825,0.325,0.21307,0.164509583,0.131343333,0.128526667,0.1225575,0.12254125,0.119123333,0.13008125,0.216038333,0.159845833,0.282663333,0.142052083,0.280155417
0.148449167,0.121105833,0.114427083,0.126685,0.119090833,0.118939167,0.17901,0.225977917,0.29410875,0.325,0.325,0.208725833,0.130417083,0.125645,0.12402,0.122178333,0.130167917,0.118581667,0.152430417,0.234086667,0.16661125,0.29901625,0.10794875,0.187010417
0.125634167,0.110722083,0.11298625,0.12601875,0.122422083,0.119296667,0.1971775,0.225512083,0.254697083,0.319139167,0.252454583,0.21064875,0.123429583,0.121235833,0.125292917,0.123651667,0.128060833,0.117384583,0.23778625,0.317877083,0.174795833,0.271012083,0.11805625,0.159775417
0.11906375,0.1079,0.112899583,0.122676667,0.126235417,0.133965,0.206223333,0.232759583,0.218075,0.2619825,0.232580833,0.201169583,0.120017083,0.119383333,0.12475125,0.12819625,0.135470833,0.117969583,0.280729583,0.30944875,0.203341667,0.247384583,0.12012,0.137334167
0.114118333,0.10668125,0.117752917,0.125504167,0.133304167,0.162424167,0.214007083,0.218719583,0.193190833,0.22602125,0.187747083,0.17850625,0.11453,0.1183975,0.123765417,0.12631125,0.153177917,0.132459167,0.322974167,0.305229167,0.178945,0.225008333,0.11886875,0.135497917
0.112314583,0.10863125,0.12272,0.136001667,0.168805,0.180315417,0.21983,0.19657625,0.177162917,0.21555625,0.154938333,0.170473333,0.112081667,0.11974625,0.123852083,0.13232375,0.177915833,0.177894167,0.311647917,0.231324167,0.1650025,0.186772083,0.116604583,0.133970417
0.109292083,0.113517083,0.12597,0.134067917,0.1739075,0.1982825,0.2237625,0.196825417,0.179080417,0.18915,0.125439167,0.151753333,0.107277083,0.12384125,0.12416625,0.145426667,0.19565,0.197870833,0.242471667,0.201575833,0.171789583,0.166037083,0.118012917,0.128705417
0.107455833,0.119199167,0.12974,0.139625417,0.202697083,0.216374167,0.22436375,0.1776125,0.174822917,0.144235,0.117102917,0.143769167,0.111155417,0.131126667,0.130953333,0.184432083,0.226221667,0.222375833,0.22069125,0.190330833,0.160999583,0.14720875,0.113901667,0.127892917
